,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
115,47.0,4,1,6,0,2,0,1,6,4,267.0,2,3,3,2,-1.8,93.876,-40.0,0.682,5008.7,0
116,27.0,1,2,2,0,2,0,1,6,4,185.0,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
117,24.0,0,2,6,0,0,0,0,1,0,744.0,1,999,2,0,-1.7,94.027,-38.3,0.905,4991.6,1
118,36.0,1,1,2,0,2,0,0,6,4,499.0,3,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,0
119,29.0,7,2,3,1,0,0,1,4,1,123.0,2,999,0,1,1.4,94.465,-41.8,4.958,5228.1,0
120,58.0,5,1,2,0,2,0,1,4,1,198.0,1,999,0,1,1.4,94.465,-41.8,4.865,5228.1,0
121,40.0,9,1,5,0,0,0,0,1,3,156.0,1,999,0,1,1.4,93.444,-36.1,4.968,5228.1,0
122,31.0,0,2,6,0,2,0,0,1,2,98.0,8,999,0,1,1.4,93.444,-36.1,4.962,5228.1,0
123,60.0,5,1,0,1,0,0,0,1,3,332.0,3,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
124,58.0,3,1,0,1,2,0,1,3,3,35.0,1,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
125,32.0,1,2,2,0,2,0,0,3,3,124.0,2,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
126,54.0,0,0,6,0,0,0,1,4,3,213.0,4,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
127,43.0,9,1,5,1,2,0,0,1,1,145.0,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
128,48.0,5,1,0,1,0,0,1,4,4,145.0,8,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
129,33.0,0,1,6,0,2,0,0,7,2,195.0,1,999,0,1,-0.1,93.2,-42.0,4.076,5195.8,0
130,37.0,1,1,2,1,0,0,1,3,1,179.0,2,999,0,1,1.4,93.918,-42.7,4.96,5228.1,0
131,35.0,7,0,5,1,0,0,1,6,4,184.0,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
132,34.0,7,1,3,0,0,0,1,6,2,285.0,1,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
133,30.0,9,2,6,0,2,0,0,1,2,31.0,17,999,0,1,1.4,93.444,-36.1,4.962,5228.1,0
134,38.0,0,1,2,1,2,0,1,4,1,306.0,1,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
135,29.0,9,0,5,1,2,0,0,6,0,14.0,5,999,1,0,-1.8,92.893,-46.2,1.313,5099.1,0
136,49.0,2,1,6,0,2,0,0,0,1,334.0,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
137,48.0,4,0,6,0,0,0,0,1,0,117.0,1,999,0,1,-2.9,92.201,-31.4,0.869,5076.2,0
138,33.0,4,1,3,0,2,0,0,3,4,155.0,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
139,33.0,0,2,6,0,2,2,1,0,4,117.0,1,999,0,1,-1.8,93.075,-47.1,1.415,5099.1,0
140,42.0,4,1,6,0,0,0,1,6,0,206.0,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
141,39.0,0,1,6,0,0,0,1,4,3,102.0,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
142,55.0,2,1,6,1,2,2,0,7,3,157.0,2,999,0,1,-0.1,93.2,-42.0,4.153,5195.8,0
143,46.0,4,1,6,1,2,0,1,6,2,311.0,3,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
144,55.0,1,0,0,1,0,2,1,4,3,115.0,3,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
145,42.0,2,1,6,0,2,0,0,7,0,58.0,1,999,1,0,-0.1,93.2,-42.0,4.021,5195.8,0
146,24.0,8,2,3,1,2,0,0,6,4,290.0,1,999,1,0,-1.8,92.893,-46.2,1.281,5099.1,0
147,49.0,1,1,2,1,2,0,0,1,2,114.0,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
148,38.0,0,1,7,0,0,2,0,3,4,311.0,3,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
149,34.0,0,1,6,1,0,0,0,1,3,146.0,1,999,0,1,1.4,93.444,-36.1,4.968,5228.1,0
150,46.0,1,1,0,1,0,0,0,3,0,111.0,1,999,0,1,1.4,93.918,-42.7,4.957,5228.1,0
151,45.0,9,1,5,1,2,0,0,1,2,360.0,5,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
152,40.0,0,1,2,0,2,0,0,3,2,106.0,4,999,0,1,1.4,93.918,-42.7,4.968,5228.1,0
153,46.0,0,0,2,1,0,0,1,6,4,423.0,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
154,31.0,1,2,2,0,0,0,1,4,4,350.0,7,999,0,1,1.4,94.465,-41.8,4.962,5228.1,0
155,57.0,6,1,2,1,2,2,1,6,3,122.0,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
156,36.0,0,1,6,0,0,0,0,6,1,91.0,3,999,0,1,-1.8,92.893,-46.2,1.299,5099.1,0
157,50.0,9,1,5,0,1,1,0,7,3,319.0,2,999,1,0,-0.1,93.2,-42.0,4.153,5195.8,0
158,32.0,0,2,3,0,2,2,0,0,4,120.0,1,999,0,1,-1.8,93.075,-47.1,1.415,5099.1,0
159,38.0,0,2,6,0,2,0,0,3,1,82.0,2,999,0,1,-2.9,92.469,-33.6,0.914,5076.2,0
160,50.0,0,1,6,0,1,1,0,6,4,801.0,1,999,1,0,-1.8,93.876,-40.0,0.682,5008.7,0
161,42.0,1,1,0,0,2,0,1,4,2,168.0,2,999,0,1,1.4,94.465,-41.8,4.866,5228.1,0
162,31.0,9,1,5,0,2,0,0,1,4,409.0,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
163,27.0,10,2,6,0,2,0,0,3,3,120.0,1,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
164,44.0,6,0,3,0,2,0,1,4,1,123.0,1,999,0,1,1.4,94.465,-41.8,4.865,5228.1,0
165,26.0,3,2,3,1,2,2,1,3,2,127.0,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
166,30.0,1,2,3,1,2,0,0,6,2,340.0,1,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,0
167,39.0,6,2,3,0,2,0,0,7,0,169.0,1,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
168,64.0,5,1,7,0,0,0,0,1,0,252.0,4,999,0,1,-2.9,92.201,-31.4,0.849,5076.2,1
169,36.0,4,1,6,0,1,1,0,9,4,331.0,1,6,4,0,-1.1,94.199,-37.5,0.876,4963.6,1
170,42.0,1,1,0,1,2,0,1,6,4,191.0,4,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
171,42.0,7,2,3,0,0,0,0,6,2,122.0,2,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,0
172,40.0,0,0,3,0,0,0,0,3,4,1776.0,3,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
173,34.0,7,1,3,0,0,2,0,6,4,362.0,2,999,1,0,-1.8,92.893,-46.2,1.334,5099.1,0
174,31.0,1,1,1,0,2,2,1,6,2,237.0,2,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
175,49.0,0,2,6,0,0,0,1,6,0,201.0,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
176,35.0,10,0,2,0,0,0,0,3,2,169.0,7,999,0,1,1.4,93.918,-42.7,4.958,5228.1,0
177,60.0,0,1,7,1,0,2,1,6,1,213.0,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
178,38.0,0,0,2,0,0,0,0,7,0,271.0,1,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
179,32.0,4,1,5,0,0,0,0,6,2,125.0,1,999,1,0,-1.8,92.893,-46.2,1.266,5099.1,0
180,50.0,6,1,2,0,2,2,0,6,1,673.0,6,3,1,2,-1.8,92.893,-46.2,1.354,5099.1,1
181,41.0,0,1,6,0,2,0,0,0,0,961.0,6,999,0,1,-1.8,93.749,-34.6,0.644,5008.7,1
182,45.0,0,1,3,0,0,0,1,6,4,215.0,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
183,46.0,1,1,1,0,0,2,1,4,3,179.0,2,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
184,55.0,11,1,0,1,2,0,1,6,1,336.0,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
185,33.0,9,0,5,0,2,0,1,6,0,44.0,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
186,45.0,1,1,7,1,0,0,1,6,1,223.0,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
187,29.0,1,1,3,0,2,0,0,6,4,66.0,1,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,0
188,42.0,9,1,3,1,0,0,0,3,4,252.0,2,999,0,1,1.4,93.918,-42.7,4.957,5228.1,0
189,39.0,3,1,6,0,2,0,1,6,1,167.0,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
190,58.0,1,1,7,1,2,0,0,3,2,180.0,4,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
191,32.0,4,0,6,0,2,0,0,3,3,123.0,4,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
192,44.0,9,0,5,1,2,0,0,0,2,18.0,3,999,1,0,-1.8,93.075,-47.1,1.41,5099.1,0
193,49.0,6,1,5,0,0,0,1,6,0,374.0,2,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
194,29.0,1,1,1,0,2,0,0,6,2,108.0,4,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,0
195,51.0,4,1,6,0,0,0,1,4,4,16.0,17,999,0,1,1.4,94.465,-41.8,4.962,5228.1,0
196,36.0,0,1,6,0,2,0,0,1,2,45.0,8,999,0,1,1.4,93.444,-36.1,4.962,5228.1,0
197,23.0,4,2,6,0,2,0,0,0,1,122.0,1,999,0,1,-1.8,93.075,-47.1,1.392,5099.1,1
198,31.0,4,2,6,0,2,0,0,1,1,72.0,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
199,32.0,9,1,7,0,2,0,0,3,0,107.0,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
200,58.0,6,0,5,0,0,0,1,4,2,197.0,1,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
201,31.0,7,2,3,0,2,0,0,3,4,21.0,20,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
202,32.0,1,1,5,0,2,0,0,6,0,160.0,2,999,0,1,-1.8,92.893,-46.2,1.25,5099.1,0
203,43.0,10,1,3,0,0,0,0,1,2,319.0,4,3,2,2,-2.9,92.201,-31.4,0.873,5076.2,0
204,48.0,0,0,5,0,2,0,1,6,0,427.0,3,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
205,28.0,0,2,3,0,2,0,0,3,2,270.0,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
206,52.0,7,3,5,0,2,0,1,4,0,7.0,2,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
207,36.0,4,1,6,0,0,0,1,4,2,22.0,1,999,0,1,1.4,94.465,-41.8,4.866,5228.1,0
208,39.0,0,0,3,0,2,2,0,0,2,433.0,2,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,0
209,39.0,1,1,7,1,2,0,1,3,3,49.0,5,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
210,50.0,4,1,6,0,2,0,1,8,2,258.0,1,999,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
211,29.0,0,2,6,0,2,0,0,7,0,190.0,1,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
212,49.0,9,0,5,0,2,0,0,6,3,130.0,3,999,0,1,-1.8,92.893,-46.2,1.291,5099.1,0
213,36.0,1,1,1,0,0,0,0,7,4,130.0,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
214,29.0,1,1,2,1,2,0,0,6,2,182.0,6,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,0
215,27.0,2,2,6,0,0,0,1,4,3,259.0,3,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
216,31.0,1,1,2,0,2,0,0,3,4,124.0,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
217,43.0,4,2,3,0,0,0,0,7,0,40.0,1,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
218,32.0,1,1,7,0,0,0,0,7,2,366.0,4,999,0,1,-0.1,93.2,-42.0,4.076,5195.8,0
219,45.0,1,1,3,1,2,0,0,1,4,399.0,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
220,56.0,1,1,0,0,0,0,1,4,4,133.0,2,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
221,38.0,0,1,3,0,1,1,1,6,4,23.0,16,999,0,1,1.1,93.994,-36.4,4.858,5191.0,0
222,35.0,1,1,2,1,0,0,1,6,2,170.0,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
223,30.0,0,2,6,0,2,0,0,1,0,83.0,1,999,2,0,-2.9,92.201,-31.4,0.881,5076.2,0
224,46.0,4,1,6,1,0,0,0,0,0,79.0,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
225,43.0,1,1,2,0,2,0,0,6,2,93.0,4,999,2,0,-1.8,92.893,-46.2,1.327,5099.1,0
226,38.0,9,1,6,1,0,0,1,6,2,257.0,2,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
227,52.0,5,1,6,0,2,0,1,7,2,188.0,2,999,0,1,-0.1,93.2,-42.0,4.076,5195.8,0
